Row Labels,Days,HFRX Absolute Return Index,HFRX ED: Distressed Restructuring Index,HFRX ED: Merger Arbitrage Index,HFRX ED: Special Situations Index,HFRX EH: Equity Market Neutral Index,HFRX EH: Fundamental Growth Index,HFRX EH: Fundamental Value Index,HFRX Emerging Markets Composite Index,HFRX Equal Weighted Strategies CHF Index,HFRX Equal Weighted Strategies EUR Index
6/8/2012,53,99.64392192,97.86613278,100.0540056,97.80629958,97.76540383,96.1045573,98.42252205,98.24475156,98.66782133,98.70404256
6/11/2012,56,99.59124764,97.98384257,99.90516083,97.55895739,97.83617818,95.74683307,98.38536746,98.1715117,98.56908148,98.60783611
6/12/2012,57,99.69870316,98.20115295,99.8643273,97.79370761,97.93609492,95.91229727,98.48940032,98.43086107,98.66053724,98.69366735
6/13/2012,58,99.529092,98.0613097,99.72470297,97.63450918,97.59679434,95.62960135,98.56052484,98.35410971,98.45820148,98.49748165
6/14/2012,59,99.62811963,98.0069821,99.82942122,97.69387131,97.52289759,95.54720419,98.57750979,98.23321378,98.4209717,98.46729924
6/15/2012,60,99.62917312,97.89933298,99.72272715,97.90163875,97.54475437,95.92636508,98.61360283,98.26983371,98.43149316,98.47767444
6/18/2012,63,99.67236602,97.88222985,99.86630312,97.82518753,97.51769359,96.10321751,98.71551257,98.47049086,98.50109666,98.55124408
6/19/2012,64,99.67341951,98.08042496,100.0954978,98.0680326,97.15029142,96.1943233,99.16242927,98.47751386,98.63382892,98.68517855
6/20/2012,65,99.6449754,98.18002555,100.1830923,97.99517908,97.33243131,96.3316519,99.22081507,98.59891143,98.69291096,98.73894097
6/21/2012,66,99.55437565,98.20920148,100.0487368,97.70916155,97.16694421,96.07508189,98.74417469,98.57683915,98.60388323,98.65310973
6/22/2012,67,99.62706615,98.11463123,100.0381991,97.63360976,97.21898418,96.18427487,98.67729642,98.69823673,98.56422542,98.61821131
6/25/2012,70,99.6523498,98.18505589,100.1014252,97.34669281,97.04517069,95.61486364,98.34821286,98.55978329,98.46953228,98.52672087
6/26/2012,71,99.60704992,98.16392849,100.0770568,97.33140257,96.95774355,95.62491208,98.2601034,98.59138679,98.52618629,98.5851993
6/27/2012,72,99.66920557,98.0130185,99.70165178,97.3358997,97.01498751,95.98799547,98.77920617,98.73686323,98.55370396,98.61160891
6/28/2012,73,99.53751988,98.0039639,99.49880134,97.28643126,96.86094921,96.07508189,98.77177525,98.8547493,98.48410046,98.54464168
6/29/2012,74,99.84408415,97.82890832,99.3578598,97.38266986,97.07431307,96.69942456,99.49894375,99.08951817,98.55694133,98.61726811
7/2/2012,77,99.81037262,97.90738151,99.25841039,97.52657804,97.24188177,96.54869806,99.68365516,98.77348316,98.612786,98.70592896
7/3/2012,78,99.9568071,97.9888729,99.45204036,97.66688853,97.56973356,97.03370245,99.97239944,99.23700118,98.7819387,98.87287544
7/5/2012,80,100.1074555,98.11664336,99.46126083,97.65789426,97.84450458,97.13217709,99.96603008,99.54701648,98.87258512,98.97851389
7/6/2012,81,100.2359807,98.0764007,99.38420401,97.43303772,98.03393006,96.79588952,99.77494931,99.42862876,98.83535534,98.95304748
7/9/2012,84,100.1906809,98.09450989,99.39276588,97.26214675,97.98917569,96.57683367,99.68577828,99.19737139,98.85397023,98.97568429
7/10/2012,85,100.3550246,98.22630462,99.77409837,97.41055207,97.88821815,96.21575996,99.65711617,99.28816875,98.95756614,99.07849314
7/11/2012,86,100.3181526,98.36111754,99.60286098,97.29362667,97.59054954,96.00541276,99.5583911,99.47327498,98.91224293,99.03038992
7/12/2012,87,100.4245546,98.23435315,99.60747122,97.11014373,97.77789342,95.78367732,99.74841031,99.30422132,98.93571388,99.05491313
7/13/2012,88,100.3803082,98.23234102,99.5804684,97.29092839,97.91527893,96.04694628,100.301483,99.44919612,99.04092848,99.16432439
7/16/2012,91,100.2581039,98.32087488,99.37432493,97.17040528,97.8143214,96.05230545,100.1698496,99.4537109,99.04740322,99.16904039
